AC,priority,label-val,between_connectivity,cluster
Q5Y4X3,False,19,0,3.0
Q5Y4X2,False,23,0,3.0
Q5Y4X1,False,39,0,3.0
Q5Y4X0,False,23,0,3.0
Q5Y4W9,False,23,0,3.0
Q5Y4W8,False,23,0,3.0
Q5Y4W7,False,40,0,3.0
Q5Y4W6,False,39,0,3.0
Q5Y4W5,False,19,0,3.0
Q5Y4W4,False,39,0,3.0
Q5Y4W2,False,19,0,3.0
P14213,False,19,0,2.0
P14214,False,19,0,2.0
Q27173,False,25,0,4.0
O15825,False,25,0,0.0
A0A384E129,False,4,0,4.0
P04933,False,3,0,1.0
L0GCV8,False,47,0,4.0
S6CWV8,False,44,0,4.0
Q8I1Y4,False,3,0,3.0
Q6BEA2,False,41,0,0.0
Q8LE92,False,18,0,0.0
P65830,False,42,0,3.0
P21841,False,38,0,0.0
P20656,False,14,0,1.0
D4DD24,False,10,0,1.0
P0A3Z7,False,28,0,0.0
Q9R0R1,False,20,0,2.0
D4B5D4,False,10,0,4.0
B1B5J0,False,15,0,1.0
P27654,False,11,0,0.0
P0C171,False,33,0,0.0
Q96A98,False,33,0,0.0
Q91W27,False,33,0,0.0
P0C172,False,33,0,0.0
A7Z070,False,18,0,3.0
O14668,False,18,0,3.0
Q5RCB6,False,18,0,3.0
O14669,False,18,0,0.0
Q8R182,False,18,0,0.0
Q9BZD7,False,18,0,3.0
Q6PAQ9,False,18,0,3.0
Q9BZD6,False,10,0,0.0
Q8BGN6,False,26,0,0.0
P10863,False,11,0,0.0
P33890,False,10,0,0.0
P0C589,False,10,0,4.0
P40552,False,10,0,0.0
Q12218,False,11,0,0.0
Q8X176,False,3,0,4.0
P14043,False,10,0,3.0
P81264,False,49,0,1.0
Q2VEJ3,False,37,0,0.0
Q800S1,False,22,0,3.0
Q8S8Y4,False,37,0,0.0
P10348,False,37,0,0.0
Q03464,False,23,0,1.0
Q9GLR2,False,2,0,2.0
C3RT23,False,22,0,3.0
C3RT24,False,22,0,3.0
Q9BZR6,False,3,0,4.0
Q9N0E3,False,3,0,4.0
Q99PI8,False,3,0,4.0
Q99M75,False,3,0,4.0
Q6UXB3,False,10,0,2.0
Q5K0D8,False,43,0,4.0
Q9U651,False,4,0,4.0
P01298,False,22,0,0.0
Q9PUH1,False,25,0,2.0
Q9PUH7,False,25,0,2.0
P00617,False,25,0,2.0
O00254,False,3,0,4.0
Q92084,False,7,0,2.0
Q96RI0,False,3,0,4.0
Q29393,False,25,0,1.0
C6KSX0,False,11,0,0.0
Q00446,False,18,0,0.0
Q60478,False,13,0,0.0
Q2UHL4,False,23,0,0.0
P84572,False,22,0,3.0
P33378,False,25,0,3.0
P55152,False,17,0,0.0
Q7YWA9,False,4,0,0.0
P20840,False,10,0,4.0
Q5ACV9,False,3,0,1.0
O75326,False,26,0,0.0
Q9QUR8,False,26,0,0.0
P83580,False,33,0,4.0
P85079,False,20,0,3.0
P0DMQ0,False,12,0,4.0
A9XDG0,False,20,0,3.0
A5A3H2,False,33,0,4.0
P0DMQ2,False,12,0,4.0
A5A3H3,False,33,0,4.0
S0F1N6,False,12,0,4.0
A5A3H4,False,33,0,4.0
P0C0H9,False,17,0,1.0
P0C0H8,False,17,0,1.0
P0DJK1,False,24,0,0.0
Q41484,False,29,0,2.0
P08459,False,11,0,1.0
O33702,False,19,0,2.0
Q93XK2,False,17,0,4.0
O18496,False,19,0,4.0
O26742,False,42,0,3.0
C7R403,False,34,0,3.0
D3S8M7,False,34,0,1.0
Q12YV7,False,34,0,1.0
B1A931,False,37,0,1.0
B0Z4V5,False,37,0,1.0
B0Z539,False,37,0,1.0
O34344,False,7,0,4.0
C0H691,False,32,0,2.0
B2ZG38,False,38,0,2.0
L0P323,False,22,0,3.0
P02852,False,4,0,0.0
Q27172,False,23,0,1.0
C1KIY9,False,32,0,2.0
P80734,False,5,0,1.0
Q92340,False,7,0,4.0
F8J4S0,False,4,0,3.0
E1AWD7,False,22,0,3.0
C3RT22,False,48,0,3.0
E7EKD0,False,48,0,3.0
Q1JS91,False,48,0,3.0
E7EKJ5,False,22,0,3.0
E1AWD8,False,22,0,3.0
E7EKD4,False,48,0,3.0
E7EKJ6,False,22,0,3.0
E1B248,False,48,0,3.0
E7EKJ7,False,22,0,3.0
E7EKM1,False,22,0,3.0
E1B247,False,48,0,3.0
P83615,False,30,0,4.0
A0SN45,False,48,0,3.0
Q28198,False,40,0,0.0
P00750,False,40,0,0.0
Q5R8J0,False,30,0,0.0
Q2MIJ1,False,37,0,1.0
B6V867,False,10,0,1.0
S0F1N0,False,12,0,4.0
Q0VC44,False,1,0,1.0
I7C2V3,False,33,0,1.0
P13208,False,2,0,1.0
P58514,False,28,0,2.0
P30941,False,29,0,2.0
P0DMQ4,False,33,0,4.0
S0F1P1,False,33,0,4.0
P01289,False,13,0,3.0
P25421,False,26,0,3.0
Q60541,False,13,0,3.0
Q8I6S3,False,44,0,0.0
P41540,False,13,0,3.0
M9P2C1,False,48,0,3.0
Q8I6S2,False,44,0,0.0
Q99N14,False,47,0,4.0
Q6ECK6,False,49,0,4.0
Q8CH01,False,48,0,4.0
C5FW30,False,28,0,1.0
A6ZZH2,False,17,0,4.0
Q09982,False,9,0,4.0
P69761,False,4,0,4.0
Q9BPA3,False,22,0,4.0
A6ZQH2,False,25,0,2.0
Q14BX2,False,3,0,0.0
Q6EW65,False,37,0,0.0
P11685,False,38,0,0.0
P02957,False,26,0,4.0
P28072,False,34,0,2.0
P28070,False,34,0,3.0
P38624,False,34,0,2.0
A4QLH5,False,26,0,4.0
O09037,False,10,0,1.0
P62179,False,17,0,1.0
I1VC85,False,4,0,0.0
Q8C1C1,False,14,0,1.0
O55183,False,30,0,0.0
Q8SWI4,False,7,0,4.0
P21852,False,17,0,4.0
D1MEJ3,False,25,0,3.0
Q9MTL6,False,37,0,0.0
Q14FH6,False,26,0,4.0
Q7TQ33,False,20,0,0.0
Q7YWB0,False,4,0,0.0
C5J8E3,False,48,0,3.0
O13035,False,23,0,1.0
A2BDG9,False,7,0,4.0
Q7TSP5,False,10,0,4.0
P0DN53,False,40,0,0.0
V5LU01,False,14,0,1.0
Q71DR4,False,3,0,1.0
Q08406,False,7,0,1.0
P58784,False,27,0,2.0
P62903,False,40,0,2.0
P0CY84,False,27,0,2.0
A0A1P8NVS9,False,27,0,2.0
P50705,False,3,0,2.0
P61262,False,27,0,2.0
P13077,False,17,0,2.0
L0L3V3,False,22,0,3.0
Q91971,False,33,0,1.0
P0DQM2,False,25,0,4.0
P86476,False,17,0,0.0
P10915,False,17,0,3.0
Q09490,False,10,0,0.0
Q95M12,False,19,0,2.0
Q9FKT1,False,11,0,1.0
Q6NLF4,False,28,0,1.0
Q9M0I0,False,7,0,1.0
O96447,False,17,0,0.0
P04123,False,23,0,3.0
P02947,False,28,0,3.0
Q98919,False,11,0,1.0
Q13449,False,11,0,1.0
Q62813,False,11,0,1.0
P04124,False,17,0,4.0
Q2RQ23,False,3,0,4.0
Q9BPJ8,False,22,0,2.0
Q9BPJ0,False,33,0,2.0
Q9BPJ2,False,4,0,2.0
Q9BPJ6,False,22,0,2.0
Q9BPI9,False,33,0,2.0
Q9BPI6,False,22,0,2.0
Q9BPI7,False,22,0,2.0
Q9BPJ5,False,14,0,2.0
Q9BPJ3,False,4,0,2.0
Q9BPJ9,False,22,0,2.0
Q9BPI3,False,22,0,2.0
Q9BPI4,False,22,0,2.0
Q9BPK0,False,22,0,2.0
Q9BPI5,False,33,0,2.0
Q9BPI8,False,33,0,2.0
Q0WYX8,False,3,0,3.0
Q8NFP4,False,3,0,3.0
Q0PMG2,False,3,0,3.0
P85171,False,3,0,3.0
Q7Z553,False,17,0,3.0
P60755,False,17,0,3.0
P60756,False,17,0,3.0
P83081,False,22,0,1.0
Q58T49,False,22,0,1.0
Q58T86,False,22,0,1.0
Q9BPJ1,False,22,0,2.0
Q58T39,False,22,0,1.0
Q58T45,False,22,0,1.0
Q58T51,False,22,0,1.0
Q58T41,False,22,0,1.0
Q01662,False,17,0,0.0
Q58T87,False,22,0,1.0
P83080,False,22,0,1.0
P50725,False,6,0,0.0
O94272,False,29,0,0.0
Q6LEM5,False,14,0,0.0
O09209,False,22,0,4.0
G1UB63,False,3,0,3.0
P01192,False,22,0,0.0
P79728,False,28,0,0.0
B2KPN7,False,22,0,2.0
P0C641,False,45,0,2.0
A0A193H396,False,22,0,3.0
P82106,False,23,0,2.0
P01278,False,22,0,1.0
Q9QZF2,False,28,0,1.0
D2Y2B4,False,27,0,3.0
D2Y2H4,False,27,0,3.0
P04087,False,10,0,1.0
P50899,False,18,0,4.0
D2Y219,False,4,0,1.0
D2Y222,False,4,0,1.0
D2Y2J1,False,4,0,1.0
D2Y215,False,4,0,1.0
D2Y248,False,4,0,3.0
D2Y2F0,False,4,0,3.0
D2Y204,False,4,0,1.0
D2Y205,False,4,0,1.0
D2Y207,False,4,0,1.0
P29007,False,48,0,0.0
C3P8M7,False,17,0,0.0
P0DQL9,False,25,0,0.0
P38571,False,40,0,1.0
P31837,False,18,0,2.0
Q16992,False,49,0,3.0
Q25060,False,44,0,1.0
Q09180,False,24,0,0.0
Q58T48,False,22,0,1.0
Q58T64,False,22,0,1.0
Q58T65,False,22,0,1.0
P0C1N2,False,9,0,2.0
P0C1N3,False,4,0,2.0
Q2I2Q1,False,22,0,2.0
P0C1N8,False,22,0,2.0
P58846,False,22,0,2.0
P0C1N1,False,22,0,2.0
P0C1N7,False,33,0,2.0
P0C1N5,False,40,0,2.0
Q58T46,False,22,0,1.0
Q58T43,False,22,0,1.0
Q58T40,False,22,0,1.0
P83082,False,22,0,1.0
Q58T68,False,22,0,1.0
Q58T70,False,22,0,1.0
Q58T83,False,22,0,1.0
Q8JHE1,False,22,0,1.0
Q58T69,False,22,0,1.0
Q58T80,False,22,0,1.0
D1MEI8,False,19,0,3.0
P86146,False,19,0,3.0
P34098,False,10,0,4.0
Q5GC94,False,48,0,1.0
Q5GC92,False,48,0,1.0
Q5GC91,False,48,0,1.0
Q99036,False,26,0,0.0
P0DKL3,False,11,0,1.0
P51457,False,6,0,1.0
Q9BPJ7,False,33,0,2.0
Q95222,False,23,0,1.0
Q58T79,False,22,0,1.0
P17716,False,43,0,1.0
Q59XB0,False,11,0,4.0
P23613,False,3,0,1.0
Q41448,False,29,0,2.0
P13276,False,3,0,4.0
E1AXF9,False,22,0,3.0
O35298,False,26,0,0.0
B1XF62,False,30,0,3.0
P36560,False,30,0,3.0
Q83RD2,False,30,0,3.0
P50997,False,44,0,1.0
P05023,False,44,0,1.0
Q5RCD8,False,44,0,1.0
A6H4Q8,False,17,0,4.0
Q36258,False,17,0,4.0
P0CB20,False,25,0,3.0
P45453,False,2,0,1.0
A0A5C2A2T2,False,10,0,4.0
P19402,False,22,0,0.0
Q9BPF8,False,40,0,2.0
O89117,False,27,0,2.0
P0C8A1,False,24,0,2.0
P61118,False,17,0,2.0
Q93R80,False,28,0,3.0
G3X745,False,28,0,1.0
P0DL57,False,5,0,3.0
P02545,False,7,0,4.0
P0DUG7,False,40,0,3.0
P69501,False,22,0,3.0
P56652,False,3,0,0.0
P01329,False,22,0,4.0
P58455,False,40,0,4.0
Q07053,False,16,0,3.0
C0HLG4,False,18,0,4.0
E6ZBE2,False,22,0,3.0
Q8WZY7,False,29,0,0.0
P22287,False,26,0,3.0
P56161,False,11,0,0.0
Q5V1N0,False,17,0,3.0
P96787,False,17,0,3.0
O04529,False,29,0,4.0
A6YF56,False,29,0,3.0
O35090,False,29,0,3.0
B6KAM0,False,29,0,4.0
Q94BT2,False,11,0,4.0
Q9N0V5,False,48,0,1.0
D2YZQ3,False,24,0,2.0
Q9TV13,False,18,0,0.0
P30834,False,28,0,2.0
C9EIC7,False,25,0,2.0
Q9Y4W6,False,27,0,1.0
Q6Z232,False,3,0,3.0
Q43645,False,29,0,2.0
Q9SJY7,False,3,0,3.0
Q8L9T8,False,25,0,3.0
Q9LVC0,False,30,0,3.0
Q9H159,False,10,0,1.0
Q3C256,False,8,0,4.0
Q9U8R2,False,22,0,0.0
P05224,False,44,0,0.0
P05226,False,44,0,0.0
Q9ULB5,False,25,0,1.0
P35581,False,17,0,2.0
Q42460,False,11,0,1.0
Q06601,False,17,0,2.0
P37302,False,6,0,0.0
Q24238,False,11,0,1.0
P0DP52,False,10,0,4.0
O42364,False,30,0,1.0
O18823,False,25,0,0.0
A2ZC67,False,6,0,0.0
P0DMY8,False,15,0,4.0
G0W2I1,False,12,0,4.0
B6ULW4,False,2,0,2.0
Q8BM92,False,25,0,1.0
D4HPD6,False,49,0,2.0
P26737,False,22,0,4.0
P0DTJ9,False,4,0,3.0
P38568,False,3,0,1.0
Q1G3I0,False,11,0,4.0
Q5A1E0,False,11,0,4.0
O35632,False,11,0,1.0
A0A3S9V8L7,False,9,0,4.0
P68409,False,19,0,3.0
Q8UUG2,False,19,0,4.0
A0A059UI21,False,3,0,3.0
P58454,False,37,0,4.0
Q8IS98,False,17,0,1.0
P0DN04,False,15,0,3.0
E2S064,False,22,0,3.0
P53379,False,11,0,2.0
B1P1C1,False,4,0,3.0
P0CH56,False,48,0,3.0
B1P1H2,False,4,0,3.0
B1P1F7,False,45,0,3.0
P0C8X9,False,22,0,2.0
Q8LEM4,False,29,0,0.0
A7E8H4,False,29,0,0.0
P45884,False,25,0,0.0
P02945,False,17,0,3.0
P32412,False,22,0,3.0
Q7LHD1,False,10,0,3.0
Q1EAR5,False,10,0,4.0
P26736,False,22,0,4.0
Q05538,False,11,0,3.0
I1C4E4,False,3,0,0.0
P79695,False,22,0,1.0
Q9SI57,False,7,0,4.0
D2Y2H6,False,4,0,3.0
P07987,False,23,0,2.0
D2Y2J3,False,4,0,1.0
D2Y2G5,False,4,0,3.0
D2Y2N3,False,4,0,3.0
D2Y1Y3,False,48,0,3.0
D2Y2D3,False,48,0,3.0
D2Y2N6,False,4,0,3.0
D2Y200,False,48,0,3.0
D2Y1Z7,False,48,0,3.0
D2Y251,False,25,0,0.0
D2Y233,False,48,0,3.0
D2Y2D7,False,48,0,3.0
D2Y234,False,48,0,3.0
D2Y235,False,48,0,3.0
Q7T273,False,22,0,4.0
A1Z0M0,False,25,0,4.0
Q80T19,False,22,0,4.0
P23132,False,41,0,1.0
P08948,False,48,0,1.0
P08947,False,48,0,1.0
Q4R4S5,False,40,0,1.0
Q9Z0M5,False,3,0,1.0
Q64194,False,3,0,1.0
P49012,False,18,0,2.0
P21764,False,18,0,2.0
P11542,False,30,0,2.0
P11543,False,18,0,2.0
P50622,False,18,0,2.0
P06181,False,18,0,2.0
P33712,False,6,0,1.0
P17647,False,6,0,1.0
P18254,False,6,0,1.0
P08025,False,6,0,1.0
Q58T52,False,22,0,1.0
C7DQB8,False,47,0,3.0
P01088,False,3,0,2.0
Q9VG55,False,14,0,3.0
P70458,False,23,0,1.0
P58457,False,40,0,4.0
E2S066,False,22,0,3.0
P39690,False,18,0,4.0
P0DN01,False,15,0,3.0
Q9Z0M1,False,6,0,0.0
T1PRE3,False,10,0,3.0
B1P1C4,False,9,0,3.0
B1P1E1,False,48,0,3.0
B1P1D0,False,9,0,3.0
B1P1E2,False,39,0,3.0
B1P1F4,False,48,0,3.0
B1P1F8,False,4,0,3.0
B1P1G2,False,48,0,3.0
B1P1G1,False,48,0,3.0
B1P1A7,False,4,0,1.0
B1P1F0,False,48,0,3.0
B1P1D5,False,10,0,3.0
D4APX3,False,17,0,1.0
Q6Z4G8,False,25,0,4.0
Q6Z4G7,False,11,0,4.0
Q9LIB6,False,11,0,0.0
B3FIA6,False,48,0,2.0
C0KYC5,False,33,0,2.0
Q14126,False,18,0,4.0
B2ZB95,False,49,0,3.0
Q295C6,False,49,0,3.0
D2Y212,False,4,0,1.0
D2Y2I9,False,4,0,1.0
D2Y210,False,4,0,1.0
D2Y2K5,False,4,0,1.0
Q593B6,False,4,0,0.0
Q61521,False,25,0,3.0
Q9Z0L5,False,25,0,3.0
Q818E2,False,17,0,0.0
Q8I817,False,3,0,2.0
Q6HDK0,False,17,0,0.0
Q65H47,False,17,0,0.0
A9VHU8,False,17,0,0.0
Q4QXT9,False,18,0,1.0
Q8RB77,False,17,0,0.0
Q0SRD5,False,17,0,0.0
P59406,False,17,0,0.0
Q9XVX1,False,48,0,4.0
Q93702,False,48,0,2.0
P34405,False,49,0,4.0
D4GWY0,False,17,0,2.0
C0XTM5,False,17,0,1.0
Q51822,False,28,0,3.0
Q06135,False,17,0,0.0
Q08271,False,11,0,0.0
O13692,False,28,0,0.0
Q08193,False,10,0,0.0
Q90W78,False,22,0,3.0
P01351,False,14,0,3.0
P04563,False,14,0,3.0
P01353,False,14,0,3.0
Q6U8D7,False,22,0,0.0
Q9LI64,False,27,0,0.0
P10997,False,48,0,1.0
Q75SZ9,False,25,0,3.0
Q5A6U1,False,11,0,4.0
P01322,False,22,0,4.0
Q6ITZ3,False,20,0,1.0
B1P1D6,False,10,0,3.0
Q26474,False,10,0,4.0
Q1ELT9,False,46,0,1.0
Q2PE51,False,14,0,0.0
P05516,False,16,0,0.0
P20736,False,7,0,4.0
P0C901,False,23,0,2.0
P0CE75,False,49,0,2.0
P33720,False,22,0,4.0
Q92223,False,10,0,4.0
P00410,False,17,0,4.0
P42890,False,21,0,1.0
P12412,False,17,0,1.0
P0C8A2,False,24,0,2.0
A6P3B2,False,9,0,1.0
P07466,False,10,0,2.0
A6YB85,False,2,0,2.0
P25653,False,10,0,3.0
P07640,False,34,0,3.0
P95317,False,18,0,2.0
P03969,False,17,0,2.0
P29794,False,45,0,1.0
D2Y2A5,False,27,0,3.0
D2Y2B2,False,27,0,3.0
D2Y221,False,4,0,1.0
D2Y2D4,False,4,0,1.0
D2Y2G9,False,4,0,3.0
D2Y2M3,False,4,0,3.0
D2Y1Y2,False,48,0,3.0
D2Y2E8,False,4,0,3.0
D2Y1Z2,False,4,0,3.0
D2Y2I5,False,48,0,3.0
D2Y2I6,False,48,0,3.0
D2Y1X7,False,48,0,3.0
D2Y1X8,False,48,0,3.0
Q99MH3,False,22,0,4.0
Q9EQ21,False,22,0,4.0
P02877,False,40,0,0.0
P0DQM4,False,25,0,4.0
P0DQL8,False,25,0,0.0
Q8Y585,False,3,0,4.0
